Statistical profiling result from isolate-0x3c50778-v8.log, (22345 ticks, 1749 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: *stepHighlight /home/pi/nodeMidi/FireSequencer.js:1143:23
      2    0.0%    0.0%  LazyCompile: *emitBeforeScript internal/async_hooks.js:340:26
      2    0.0%    0.0%  LazyCompile: *SimpleSlice native array.js:203:21
      2    0.0%    0.0%  LazyCompile: *ComputeSpliceStartIndex native array.js:434:33
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/pi/nodeMidi/FireSequencer.js:1089:29
      2    0.0%    0.0%  Eval: ~<anonymous> /home/pi/nodeMidi/FireSequencer.js:1:1
      2    0.0%    0.0%  Builtin: StringIndexOf
      2    0.0%    0.0%  Builtin: StringEqual
      2    0.0%    0.0%  Builtin: ObjectPrototypeValueOf
      2    0.0%    0.0%  Builtin: LoadICTrampoline
      2    0.0%    0.0%  Builtin: HandleApiCall
      2    0.0%    0.0%  Builtin: FulfillPromise
      2    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined
      2    0.0%    0.0%  Builtin: CallBoundFunction
      2    0.0%    0.0%  Builtin: ArrayBufferIsView
      2    0.0%    0.0%  Builtin: Add {1}
      1    0.0%    0.0%  Stub: StoreFastElementStub {4}
      1    0.0%    0.0%  Stub: StoreFastElementStub {2}
      1    0.0%    0.0%  Stub: CallApiGetterStub
      1    0.0%    0.0%  Script: ~<anonymous> internal/url.js:1:11
      1    0.0%    0.0%  LazyCompile: ~writeOrBuffer _stream_writable.js:365:23
      1    0.0%    0.0%  LazyCompile: ~write console.js:153:15
      1    0.0%    0.0%  LazyCompile: ~tryOnTimeout timers.js:292:22
      1    0.0%    0.0%  LazyCompile: ~shift internal/fixed_queue.js:104:8
      1    0.0%    0.0%  LazyCompile: ~patternEvent /home/pi/nodeMidi/FireSequencer.js:375:22
      1    0.0%    0.0%  LazyCompile: ~parse /home/pi/nodeMidi/node_modules/js-message/Message.js:54:19
      1    0.0%    0.0%  LazyCompile: ~onStreamRead internal/stream_base_commons.js:87:22
      1    0.0%    0.0%  LazyCompile: ~ok assert.js:345:12
      1    0.0%    0.0%  LazyCompile: ~normalizeString path.js:52:25
      1    0.0%    0.0%  LazyCompile: ~loadGlobalData /home/pi/nodeMidi/FireSequencer.js:4300:24
      1    0.0%    0.0%  LazyCompile: ~howMuchToRead _stream_readable.js:365:23
      1    0.0%    0.0%  LazyCompile: ~handleWriteReq internal/stream_base_commons.js:12:24
      1    0.0%    0.0%  LazyCompile: ~getDefaultTriggerAsyncId internal/async_hooks.js:270:34
      1    0.0%    0.0%  LazyCompile: ~chunkInvalid _stream_readable.js:303:22
      1    0.0%    0.0%  LazyCompile: ~args internal/util/types.js:11:10
      1    0.0%    0.0%  LazyCompile: ~afterWrite _stream_writable.js:481:20
      1    0.0%    0.0%  LazyCompile: ~addPattern /home/pi/nodeMidi/FireSequencer.js:453:30
      1    0.0%    0.0%  LazyCompile: ~addEventByStep /home/pi/nodeMidi/FireSequencer.js:416:34
      1    0.0%    0.0%  LazyCompile: ~addChunk _stream_readable.js:285:18
      1    0.0%    0.0%  LazyCompile: ~_unrefTimer net.js:333:52
      1    0.0%    0.0%  LazyCompile: ~Writable.write _stream_writable.js:273:36
      1    0.0%    0.0%  LazyCompile: ~PlotBitmapToPixelMemmap /home/pi/nodeMidi/FireSequencer.js:2360:33
      1    0.0%    0.0%  LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:275:28
      1    0.0%    0.0%  LazyCompile: ~Module._compile internal/modules/cjs/loader.js:705:37
      1    0.0%    0.0%  LazyCompile: ~Console.(anonymous function) console.js:196:47
      1    0.0%    0.0%  LazyCompile: *validateAsyncId internal/async_hooks.js:117:25
